id,respondent,categorical_variable,personal_id,IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI,AR,CO,KY,OK,PA,WV,MT,WY,census_region,education,household_income,age,gender
129,3125475193,Mid west,A lot,1,1,1,,1,,1,,,1,,1,,,1,,1,1,,,,,,,
130,3125460697,Cold,A lot,1,,1,1,1,1,,1,1,,1,1,,,,,,,,,West North Central,Graduate degree,"$150,000+",45-60,Male
131,3125460286,Upper Midwest,A lot,1,1,1,,1,1,1,,,1,,1,,,,,,,,,East North Central,Graduate degree,"$50,000 - $99,999",> 60,Male
132,3125449094,Midwest,Some,1,1,1,,1,1,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$25,000 - $49,999",18-29,Male
133,3125445535,Midwest,A lot,1,1,1,,1,,1,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$100,000 - $149,999",45-60,Male
134,3125440642,Upper Midwest,A lot,1,1,1,1,1,1,,,,1,,1,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",45-60,Male
135,3125435256,mid atlantic,Not at all,1,1,1,,,,,1,,,,,,,,,,,,,,,,,
136,3125410670,"Okay, not to exciting.",A lot,1,,1,1,,,1,1,1,,1,,1,,1,1,,,,,West North Central,High school degree,,45-60,Male
137,3125375292,New England,Not much,1,1,1,1,,,1,1,1,1,1,1,1,,,1,,1,,1,New England,Some college,"$50,000 - $99,999",18-29,Male
138,3125372118,central,Not much,,,1,,,,,1,,,,,,,,1,,,1,1,,,,,
139,3125341741,Upper mid-west,Not much,1,1,1,,1,1,,,,1,,1,,,,,,,,,,,,,
140,3125339247,Upper mid-west,Not much,1,1,1,,1,1,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$150,000+",45-60,Male
141,3125306423,Upper Midwest,A lot,1,1,1,,1,1,,,,,,1,,,,,,,,,East North Central,Some college,"$150,000+",18-29,Male
142,3125293292,Midwest,Some,1,1,1,,1,1,,,,1,,1,,,,,1,,,,East North Central,Graduate degree,"$50,000 - $99,999",45-60,Male
143,3125279866,Ruff but wonderful,A lot,,,,1,,,,,1,1,1,,,1,,,,,1,1,Mountain,High school degree,"$0 - $24,999",30-44,Female
144,3125242420,home,Not at all,,,,1,,,,,,,,,1,,1,,,,,,Middle Atlantic,Associate or bachelor degree,"$25,000 - $49,999",18-29,Male
145,3125238383,Mid-South,Not much,1,1,1,1,1,1,1,,,1,,1,,,,,,,,,West South Central,Some college,"$0 - $24,999",18-29,Male
146,3125236982,Mid america,Not much,,,1,1,,,1,,,,,,,,,,,,,,East South Central,Associate or bachelor degree,"$150,000+",45-60,Male
147,3125233432,The Lowcountry,Not at all,1,1,1,1,,,1,,,,1,,1,,,1,,,1,1,South Atlantic,High school degree,"$150,000+",18-29,Male
148,3125227684,Ohio,Not at all,,,,1,,,,1,1,,1,,,1,,1,,,,,East North Central,Less than high school degree,"$25,000 - $49,999",18-29,Male
149,3125223841,midwest,A lot,1,,1,1,,,1,,,,,,,,1,1,,,,,East South Central,Associate or bachelor degree,"$25,000 - $49,999",45-60,Male
150,3125223598,missiouri,Some,1,,1,1,1,1,1,,1,,1,1,1,,1,,,,,,West North Central,Some college,"$150,000+",18-29,Male
151,3125223179,Midwest,Some,1,1,1,,1,1,1,1,,1,,1,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",18-29,Male
152,3125212797,USA upper midwest,Not much,1,1,1,,1,1,,1,1,1,1,1,,,,,,,,,,,,,
153,3125212568,Midwest,Some,1,1,,1,,1,,1,1,,1,1,,,,,,,,,West North Central,Graduate degree,"$25,000 - $49,999",30-44,Male
154,3125198786,Rocky Mountains,A lot,1,1,1,,1,1,1,,,1,,1,,,1,,,,,,Mountain,Graduate degree,"$150,000+",18-29,Male
155,3125197936,The northeastern part of the southern half of the North West,Not at all,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,Pacific,High school degree,"$0 - $24,999",18-29,Male
156,3125196988,upper south,Some,1,1,1,1,,,1,,,1,,,,,,1,,,,,,,,,
157,3125195663,upper south,Some,1,1,1,1,,,1,,,1,,,,,,1,,,,,East South Central,Graduate degree,"$25,000 - $49,999",45-60,Male
158,3125188710,Northeastern,Not much,,,,,,,,1,,,,,,1,,1,,,,,Middle Atlantic,High school degree,"$150,000+",45-60,Male
159,3125188414,Rocky Mountain,A lot,,,1,1,,,1,1,1,,1,,,,,,,,,,Mountain,Associate or bachelor degree,"$150,000+",45-60,Male
160,3125187550,Northeast,Not at all,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,,Middle Atlantic,Some college,"$100,000 - $149,999",> 60,Male
161,3125184703,The Midwest/Great Plains,Not much,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,,1,1,West North Central,Some college,"$0 - $24,999",18-29,Male
162,3125184212,Midwest,A lot,1,1,1,,1,,1,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$0 - $24,999",45-60,Male
163,3125181547,mid west,Some,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",45-60,Male
164,3125176085,The Midwest,Some,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,East North Central,Graduate degree,"$150,000+",45-60,Male
165,3125165329,Midwest,Some,1,1,1,1,1,,1,1,,1,,,,,,1,,,,,West South Central,Associate or bachelor degree,"$50,000 - $99,999",18-29,Male
166,3125164346,Rocky Mountain West,Some,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,Mountain,Some college,"$50,000 - $99,999",45-60,Male
167,3125164338,Midwest,A lot,1,1,1,,1,1,,,,1,,1,,,,,,,,,,,,,
168,3125161972,Midwest,Some,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,East North Central,Some college,"$50,000 - $99,999",18-29,Male
169,3125160037,midwest,A lot,1,1,1,,1,1,,,,1,,1,,,1,,1,1,,,,,,,
170,3125154816,The north midwest,Some,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,,1,East North Central,Some college,"$50,000 - $99,999",45-60,Male
171,3125149708,Mid-East,Some,1,,1,1,,1,1,1,1,,1,,1,1,,1,,,1,1,East North Central,Some college,"$150,000+",18-29,Male
172,3125146483,Mid Atlantic,Some,1,1,1,1,,,,,,1,,,,,1,,,,,,,,,,
173,3125144841,A grievously sad and sorry excuse for what the locals think of as a modern world.,Some,1,1,1,1,,1,1,1,1,,1,1,1,,,1,,,,,South Atlantic,Some college,"$50,000 - $99,999",18-29,Male
174,3125144293,Midwest,Some,,,,,,1,,1,1,,1,1,,,,,,,1,,West North Central,Some college,"$50,000 - $99,999",45-60,Male
175,3125141095,the midwest DUH,A lot,,1,1,1,,1,1,1,1,,1,,,,,,,,,,West North Central,Associate or bachelor degree,"$100,000 - $149,999",> 60,Male
176,3125136438,Midwest,Some,1,1,,1,1,,1,,,1,,,,,1,,,,,,East North Central,Associate or bachelor degree,"$100,000 - $149,999",30-44,Male
177,3125129988,South,Not at all,,,1,1,,,1,1,1,,1,,,1,,1,,,,1,East South Central,Associate or bachelor degree,"$50,000 - $99,999",45-60,Male
178,3125126170,Northeastern Midwest.,Some,,1,1,1,,,1,1,,,,,1,,,1,,,,,East North Central,Some college,"$0 - $24,999",45-60,Male
179,3125122589,mid atlantic mid west,Some,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,,,Middle Atlantic,Graduate degree,"$150,000+",45-60,Male
180,3125117261,tri-state,Some,1,1,1,,1,1,,,,1,,1,,,1,,,,,,Middle Atlantic,Associate or bachelor degree,"$150,000+",45-60,Male
181,3125116359,Midwest,A lot,1,1,1,1,1,1,,1,1,1,,1,,,,1,,,,,,,,,
182,3125115680,MID WEST,A lot,1,1,1,,,,1,,,1,,1,,1,,1,,,,,East North Central,,"$150,000+",30-44,Male
183,3125113513,Midwest,A lot,1,1,1,1,1,1,,1,1,1,,1,,,,1,,,,,East North Central,Graduate degree,"$100,000 - $149,999",45-60,Male
184,3125096120,Urban,Not at all,,,,1,1,,1,,,1,,1,,,1,,,1,,1,Middle Atlantic,High school degree,"$50,000 - $99,999",18-29,Male
185,3125091344,Upper Midwest,Some,1,1,1,,1,1,,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$100,000 - $149,999",45-60,Male
186,3125089257,Flyover country,Some,1,1,1,1,1,1,1,,,1,,1,,,,,,,,,East North Central,Associate or bachelor degree,"$100,000 - $149,999",45-60,Male
187,3125087847,Mid alantic,Not at all,1,,1,1,,,,1,1,,1,,,1,,1,,,1,1,Middle Atlantic,High school degree,"$50,000 - $99,999",> 60,Male
188,3125076691,Midwest,A lot,1,1,1,1,,1,1,1,1,1,1,,,1,,,,,1,1,West North Central,Associate or bachelor degree,"$25,000 - $49,999",18-29,Male
189,3125075785,The Great Lakes Region,A lot,1,1,1,,1,,,1,1,1,1,1,,,,,,,1,,East North Central,Some college,"$0 - $24,999",45-60,Male
